"bugId","testerId","testCycleId","productId","subject","action_performed","expected_result","result","error_message"
2731288,64256,146991,4189,"Profile - [D] - Unable to unfavorite shows on All Shows and Full Episodes pages","1. User is signed into MVPD. 2. User has previously favorited shows, such as Bones and Gotham. 3. Open http://www.fox.com/full-episodes. 4. Click favorite star for Gotham to unfavorite it. 5. Reload page. 6. Open http://www.fox.com/shows. 7. Click favorite star for Bones to unfavorite it. 8. Reload page.","After unfavoriting a show and reloading the page, the show will still be unfavorited--i.e., the star will not be filled in.","After reloading the page, the show is again designated as a favorite:  star is filled in.  Issue is occurring only on the Full Episodes and Shows page.  If the show is unfavorited on the show page and the page is reloaded, the unfavorite status is retained.  If an unfavorited show is favorited on the Full Episodes or Shows page and the page is reloaded, the new favorite status is retained.  The issue only pertains to unfavoriting.  Issue reproduced 10 out of 10 times.",NULL
2727503,80047,146991,4189,"Superhuman - [T, M] - Show page menu has Full Episode link on mobile","1. Go to http://www.fox.com/superhuman on Android Phone Chrome browser 2. Verify Video Menu Items Logic","For Mobile:  Full Episodes  will not be shown as a menu item, even if episodes are available. Mobile devices are expected to use the Fox Now app to see Full Episodes","For Superhuman show, Full Episodes Menu item is seen on mobile. Tapping it takes to http://www.fox.com/superhuman/full-episodes where the menu is seen overlapping with the Key Art in Show header",NULL
2719584,249569,146444,4189,"Show Page- [D,T,M]- Buzz Feed- No Content shown for the Recipes of The F Word show","Preconditions:  User is anonymous 1. User navigates to a SThe F Word Show Landing Page 2. Click on the ' Click for recipe  CTA of the  Buttermilk Fried Chicken, BBQ NY Steak with sauteed mushrooms and Fingerling potatoes or Chicken Parmesan recipe 3. Observe","Clicking on each Buzz Item takes user to referenced node or external link","After clicking on CTA, pages without content are opened. The only title shown. The issue not reproduced on the FOX.COM site Issue reproduced for all breakpoints","Device/OS/Browser/OS:  (with Cross Browser Testing Results.  You must test each bug on all supported browser for your OS and list if the issue happens or not on each of them.)     Other shows with the same issue: (Make sure to test multiple shows and similar content to see if it is Global or specific issue.)     Breakpoints Effected: Mobile, Tablet, and/or Desktop (try to test on all 3 - the more device types a bug occurs on the higher the ticket priority)      Screen Resolution     Does this issue occur on www.fox.com:      Direct URL to the issue:     Test Case URL:  References URL of the test case in Test Rail"
2716361,64256,142575,4189,"[Delta Web] Playback - [D/T/M] - All videos begin as having been partially viewed","1. User has cleared browser and is not authenticated or signed into FOX profile. 2. Open any video, such as http://qa.fox-com.dws.la/watch/95331bedded7a06ef7f59d08423a2b7e/.","Video will play from the beginning.","Every single video played--episodes, clips and movies--begins in a partially viewed state. One hour episodes all begin in the 9:30-9:45 range and half hour videos all begin in the 4:40-4:45 range.  Movies appear to begin in the 18:40-25:00 minute range, and clips in the 0:10-0:15 range.  Issue seen dozens of times, occurring 100% of the time. Some of the videos viewed: Clips - Family Guy, MasterChef ,The Mick 1 hr episodes - 24: Legacy (3 eps), Love Connection (3 eps), SYTYCD (3 eps), Gotham (3 eos) 1/2 hr episodes - B99 (2 eps), The Mick (3 eps), Family Guy (2 eps), Making History (5 eps) Movies -  Book of Life, Mr. Peabody & Sherman, 22 Jump Street, Ice Age, Click  Issue occurs both when authenticated or unauthenticated, and NOT signed into FOX profile.",NULL
2705299,64256,145212,4189,"Ads - [D] - Frames of previously played and unplayed ads play in various positions in ad pods","1. Open any episode, such as http://www.fox.com/watch/963662403943. 2. View ad pods.","Ads will play in their entirety one after the other. Ads will not repeat.  All ads will play in full.","Frames from previously played ads as well as unplayed ads are appearing at various point in ad pods.  If it an ad that has previously played in the pod, the frame is from the end of the ad.  if it is an unplayed ad, the frame is from the beginning of the ad.  Examples:  - Ad pod 1:  Following the Bank of America ad in position 1, the beginning frame from an unplayed McDonald's McCafe/frappe ad briefly displayed.  Following the ad in position 2, the end frame from the Bank of America ad in position 1 played.  - Ad pod 2:  4 ads played:  Chipotle, USAA, Tide and Beggin.  Following the Beggin ad in position 4, the end of the Tide ad from position 3 flashed on the screen, followed immediately by the beginning frame for the Monster.com ad, which did not play.  Content playback then resumed.  - Ad pod 4:  4 ad pods played:  Heineken, Intel, Buffalo Wild Wings and Subaru.  Following the Subaru ad in position 4, the beginning of the Samsung Gear VR ad (which did not play) flashed by before content resumed.  Ad pod 5:  4 ads played:  Buffalo Wild Wings, Jeep, Power Rangers movie and Total Wireless.  Following the Total Wireless ad in position 4, the beginning of the Geico/Caesar ad (which did not play) flashed by before content resumed.  For another episode, replayed ad has also been seen following position 3 in ad pod 1; i.e, although the issue most commonly occurs following position 4, it can be seen in other positions.",NULL
2702212,185677,145212,4189,"Buzz Feed - [D, T, M] - Shows shared content links direct to http://foxcom.prod.acquia-sites.com","1. Open test url http://www.fox.com/empire 2. Find shareable content (tested The Queen is moving her pawns.) 3. Share via Facebook or Twitter  4. Go to social media via wich you shared contect  5. Click on shared url  6. Observe url user gets to http://foxcom.prod.acquia-sites.com 7. Click on FOX logo","The share includes a link back to the originating page. User gets to correct url when clicks  on url after sharing from Buzz Feed","User gets to http://foxcom.prod.acquia-sites.com url -  http://foxcom.prod.acquia-sites.com/empire/content/twitter-the-queen-is-moving-her-pawns","N/A"
2699764,64256,142575,4189,"Authentication - Page must be re-loaded to initiate video playback after signing into MVPD","1. User is not authenticated and Preview Pass has expired. 2. Open any gated content, such as http://www.fox.com/watch/970236995817/7685557248. 3. Select MVPD and sign in with valid AuthN/Auth Z credentials.","After authentication is complete, video will play.","Video does not load or play; instead, player with black screen displays, even if user remains on page for several minutes.  User must re-load page to initiate playback; it then takes approx. 20 sec for video to load and begin to play.",NULL
2699729,64256,142575,4189,"Authentication - After signing out of MVPD,  MVPD picker does not display","1. User is authenticated. 2. Open any episode, such as http://www.fox.com/watch/970236995817/7685557248. 3. Click X to right of MVPD logo in global navigation to sign out.","Page will re-load and MVPD picker will display in player.","Page can be seen to re-load quickly, but MVPD picker does not display.  Instead, user must manually re-load page (which takes much longer than re-load that had occurred after clicking X), after which MVPD picker displays.   Issue is occurring 100% of time in Chrome and IE where no video plays; only occurs occasionally in Firefox.",NULL
2699679,64256,142575,4189,"Ads - No pre-roll ads play for any episodes (other than Preview Pass promo)","1. Open any episode, such as http://www.fox.com/watch/960984643849.","Pre-roll ad will play before all episodes.","No pre-roll ads are playing before episodes in any browser, whether authenticated or unauthenticated, other than the Preview Pass promo during the period of time that Preview Pass is available.  Tested 25+ episodes; issue occurs 100% of the time.  Mid-roll ads play as expected.  Pre-roll ads are playing for clips.",NULL
2699633,64256,142575,4189,"Authentication - Episodes do not play in Chrome or IE if user is authenticated","1. Open any gated content with Preview Pass available, such as http://www.fox.com/watch/970236995817/7685557248. 2. After video begins to play, click Sign In link in Preview Pass overlay. 3. Sign into MVPD with valid AuthN/AuthZ credentials. 4. Re-load page, or select any other episode to play.","Video will play.","Chrome IE only: Video does not play.  User sees error message; see below. Note: Re-loading page simply re-displays error message.  Firefox: Videos play as expected when user is authenticated.  Videos play as expected in all browsers when user is not authenticated. Clips play as expected when authenticated or unauthenticated.  Episodes tested: SYTYCD E1 and E2, American Grit E1 and E2, Lucifer E18, B99 E22, MC E3","Sorry, there was a problem accessing your video. Please see this support document for help in resolving the issue.  [ support document  hyperlink continues to open non-existent ( oops ) page: https://ask.fox.com/hc/en-us/articles/206199620]"
2695577,64256,144528,4189,"Profile - [D] - Continue Watching and Watched tags for episodes disappeared on June 16","1. User is authenticated. 2. User has previously watched and partially viewed episodes, including MasterChef S8 E3 and S7 E18. 3. Open http://www.fox.com/full-episodes. 4. Open http://staging.fox.com/masterchef and view S8 E3 and S7 E18 thumbnails.","Partially viewed episodes will display a Continue Watching tag and progress bar, and fully viewed episodes will display a Watched tag.  This will occur in all locations where episode thumbnails are present, such as Buzz Feed, right rail panel, show full episodes page, Full Episodes and Watch pages.","The morning of 6/16/17, bookmarks were being set, and progress bars, Continue Watching and Watched tags were displayed on thumbnails throughout the site in staging in Chrome (which was the only environment being tested at that point in time).  The progress bar and tags' presence were confirmed on show page, in right rail panel, show's full episodes page and Watch pages.  Full history of bookmarks was observed on http://staging.fox.com/full-episodes.  In addition, the  continue watching thumbnail was present in show buzz feed, with the correct (most recent) episode displayed.  Upon returning to testing the same evening, progress bars CW and Watched tags were no longer present in Chrome or IE in both staging and production, and the buzz feed thumbnail was missing.  24 hours later this continues to be the case, but they are present in Firefox.  Attachment  Staging-MC_bookmarks_set_Jun16  shows Continue Watching and Watched episodes that were set 6/16/17 a.m. in Chrome.  The bookmarks are clearly still in existence since they can currently be seen in Firefox; but they do not display in Chrome and IE.   Full eps-noCW  show production Full Episodes page where there are no tags present on any shows.  Existing KI FOXRDM-5302 covers Watched tags not displaying.",NULL
2695555,64256,144528,4189,"Profile - [D] - Favorite stars are missing on Full Episodes page","1. User is authenticated. 2. Open http://www.fox.com/full-episodes.","User should see their favorite shows marked with a star next to the title in the list of shows.","Favorite stars are missing in Chrome and IE in both staging and production; they are present in Firefox in staging, though very slow to load, and missing in production Firefox.  Stars were present the morning of 6/16/17, but profile components began disappearing that evening.  Verification 24 hours later on 6/17/17 confirms that they are still missing",NULL
2693778,64256,144528,4189,"Profile - [D] - Add to Favorites missing on show page","1. User is authenticated. 2. Open any show page, such as http://www.fox.com/masterchef.","Add to Favorites text and star will be present in left rail below show menu and social icons.","Add to Favorites text and star are missing.  Add to Favorites was present and functional in Chrome at 9:05 am EDT this morning.  It was also seen in Firefox as recently as 7:30 pm, but is no longer present in any browser.",NULL
2691758,249569,144528,4189,"Watch Page- [D,T,M]- Most recent clips gallery section is missing in pages for all unlocked episodes","1.Go to a American Grit watch page for locked episode. 2. Scroll to the  Most Recent Clips  gallery section and observe 3. Choose any unlocked episode 4.Scroll to the Most recent Clips Gallery Section and observe.","In accordance with TC, it should be:  Most Recent Clips  - header Recent Clips Section  Up to 4 Video Thumbnails Clicking on thumbnail shall play this video If more than 4 Images: Desktop: arrows shall appear on hover so user can click to see the previous or next set of 4 images Mobile: The thumbnails are vertically stacked followed by a  Load More  button Pressing the Load More button will load an additional 4 items (if there are 4 to load) Desktop only: Dots below the gallery shall indicate how many more sets of 4 can be viewed Clicking on the dots allows viewing of the corresponding set of 4  Now Playing  - overlay if this is the current video being played Play Icon - click to play this video Clip Name - overlay (Mobile: next to thumbnail) Verify that the Number of Recent Clips in parenthesis is no longer shown at all","Most Recent Clips gallery section is missing in the pages of unlocked Episodes.",NULL
2691726,197649,144528,4189,"All Shows - Filter By Favorite is missing on all Shows Page","1. Go to staging.fox.com 2. Open All Shows Page","On All Shows Page should be Filter By Favorite button.","Button Filter By Favorite is missing",NULL
2691668,64256,142575,4189,"[Delta Android] Home - Love Connection live pin did not appear until page was refreshed at 9:04 pm","1. User has previously signed into MVPD. 2. Navigate to Live and place FOX channel in focus prior to CTA buttons being available for primetime streaming, in this case beginning at 8:55 pm. 3. Remain on FOX channel without any additional intervention until after primetime begins. 4. At 9:01 pm, when no CTA buttons have appeared, refresh page. 5. Repeat refreshing until CTAs appears at 9:02 pm. 6. Tap Watch Live button and view Love Connection for 1-2 minutes. 7. Exit streaming and navigate to Home, landing on Nat Geo Presents collection (which was last collection viewed prior to 8:00 pm. 8. Swipe to FOX Presents collection.. 9. Refresh page.","Live pin for Love Connection will be present in FOX Presents collection on Home from 9:00-10:00 pm.","Love Connection live pin was not present in FOX Presents collection when initially accessed at 9:04 pm.  Only after page was refreshed did live pin appear.",NULL
2691661,64256,142575,4189,"[Delta Android] Live TV - Blank button displays after refreshing EPG when no FOX CTAs present","1. User has previously signed into MVPD. 2. Navigate to Live and place FOX channel in focus prior to CTA buttons being available for primetime streaming, in this case beginning at 8:55 pm. 3. Remain on FOX channel without any additional intervention until after primetime begins. 4. At 9:01 pm, when no CTA buttons have appeared, refresh page. 5. Repeat refreshing until CTAs appears.","CTA buttons will display in channel shortly before primetime streaming begins. When user refreshes page, CTA buttons that display will be Restart and Watch Live.","No CTA buttons appeared for FOX channel before primetime began. (Note:  Since pre-primetime streaming was a special sporting event, user verified on TV/local FOX affiliate that sporting event had finished on time to allow Love Connection to air at 9:00 pm.)  The fourth time the page was refreshed, a blank button displayed in the FOX channel.  Tapping the blank button resulted in the appearance of the Restart and Watch Live buttons.  Since the buttons appeared so late (9:02 pm), when the Watch button was tapped to view live stream, the episode was already in progress.",NULL
2691560,249569,144528,4189,"VOP- Desktop- Video stops playing when seeking back to the position before the last ad break point","1. Open test URL: staging. fox.com 2. Choose show American Grit 3. Choose any unlocked episode 4. Watch video  and midrolls 5. After midroll ended, seeking back to the position before the last ad break point","Mid-Roll ads play during commerical break indiciators on timeline. If seeking back to the position before the last ad break point you have watched and only cross this point, the pod of ads of this ad break will be skipped.","When user seeking back to the position before the last ad break point you have watched and only cross this point, video stopped and playhead is shown. After clicking on playhead video start playing from the beginning (from pre-roll).",NULL
2691480,249569,144528,4189,"Bio Detail Page-Desktop- American Grit. Shareable tweets/instagrams can not be shared from BDP.","1. Open test URL http://staging.fox.com 2. Choose American Grit show 3. Observe shareable tweets/instagrams of Buzz Feed. (User is able to share it) 4. Choose The Team- John Cena from right rail. 5. Scroll down the page to find shareable tweets/instagrams. 6. Try to share it","It should be possible to share tweets/instagrams from any Page.","It is not possible to share tweets/Instagrams from John Cena Bio detail Page- Share CTA does not have social icons and none-responsive. It is possible to share the similar tweets/Instagrams from Buzz feed, but impossible from the John Cena Bio Detail Page. It has been checked shows: 24 Legacy APB Beat Shazam Bob's Burgers Bones Brooklyn Nine-Nine Empire The Exorcist The F Word Family Guy Gotham Hell's Kitchen Hotel Hell Kicking and Screaming The Last Man On Earth Lethal Weapon Love Connection Other shows, different from American Grit have no any shareable tweets/instagrams in Bio Detail Page.",NULL
2691324,185677,144528,4189,"Search - [D, T, M] -  Search doesn't work, no results for valid shows, not results for any search","1. Open test URL 2. Click on Search  3. Type Empire","Valid search results for shows appear.","Valid search results for shows do not appear. User obseves No results for valid shows.","N/A"
2684994,64256,142575,4189,"[tvOS] Live TV - Streaming unavailable on multiple channels mid-day 6/12/2017","1. User has previously signed into MVPD. 2. Navigate to Live TV and view programming available on all channels. 3. Attempt to play programming on FXX West, FXM and Nat Geo East.","Programming will be available on all channels. User will be able to expand each cell in EPG to view program details and click Watch Live button.","For the 6/12/2017 programming at 12:30 pm, three channels display  Listing Info Unavailable  and cannot be  played:  FXX West, FXM and Nat Geo East.  At 1:00 pm, FXX West and FXM continue to have no programming that can be played; Nat Geo East now has a program available, which can be played.  FXX West has programming listed beginning at 1:30 pm, but FXM has none until 7:30 pm tonight.  Verified that streaming was occurring as expected on fxnetworks.com for both channels; did not identify issue soon enough to be able to check NGC streaming prior to 1:00 pm.",NULL
2684135,64256,142575,4189,"[Roku] Player - App menu is visible during video playback","1. User has previously signed into MVPD and FOX Profile. 2. Navigate to Find and select Bob's Burgers. 3. Click Watch button for Episode 20. 4. View first few minutes of episode, then scrub to end and view last few minutes of episode.","Player will only display video when controls are not active.","The app menu (Home | Find | Settings) can be seen in the player at the top of the screen.  Issue observed at 10:17 am EDT on 6/9/2017.  This persisted for the entire end of the episode.   Unable to reproduce this issue with the same episode nor any other show/episode when tested several hours later.",NULL
2681268,64256,142575,4189,"[Roku] Profile - Watching latest episode of favorited show does not display it in For You collection","1. Perform factory reset on Roku device, install FOX NOW app and open. 2. During onboarding: - Skip signing up for FOX Profile. - Select Favorites (Prison Break, LMOE, Americans, Origins). - Skip signing into MVPD. 3. Navigate to Find and open Brooklyn 9-9:  partially view E21, then exit player and show page. 4. Open Family Guy: partially view E16, then exit player and show page. 5. Navigate to Settings and select Profile Sign Up/In. 6. Sign Up and create FOX profile. (Screenshot of sign up confirmation attached.) 7. Navigate to Home and view For You collection: presence of 4 favorites and 2 Continue Watching episodes. 8. Navigate to Settings and sign into MVPD. 9.  Return to Find and open Gotham. 10. Favorite Gotham. 11. Play Episode 22.  View first 12 minutes, scrub to within 5 minutes of end, and view balance of episode to within one minute of end. 12.  Exit episode and navigate to Home. 13. Scroll through For You collection. 14. Close and re-open app to confirm Home screen is refreshed. 15. View For You collection.","Gotham will display in For You collection as a favorite, with the most recent episode, E22, displayed.","Gotham does not display in For You collection.",NULL
2666838,64256,142661,4189,"Ads - Regular ad and TrueX slate appear back-to-back when signing into partially viewed locked ep","Prerequisites: User has previously partially viewed a gated episode. Interactive ads are available in inventory. User does not have preview pass available and is not currently authenticated.  1. Open any partially viewed locked episode, such as http://www.fox.com/watch/864893507605/7684109568. 2. Select MVPD and sign in with valid AuthN/AuthZ credentials.","After authentication is complete, user will see an ad before playback begins. Regular ads are never followed by a TrueX slate.","Following authentication, a regular ad plays, after which user is presented with a TrueX slate. Reproduced 7 out of 7 times.  Issue does not occur when signing in to view an episode that has not been partially viewed. Issue does not occur if user is already authenticated and then views a partially watched episode.",NULL
2666714,64256,142661,4189,"Live TV - Closed caption  Test. This is a test.  seen in ad pod 4 of MasterChef","1. Open http://www.fox.com/live at 8:00 pm and sign into MVPD. 2. Allow live streaming to play uninterrupted for the duration of primetime.","Closed captions will reflect audio heard during live streaming.","Following the So You Think You Can Dance promo in ad pod 4 of MasterChef, when the Fox multi-color slate appeared, closed caption text displayed  Test. This is a test.  It remained displayed for 5-10 seconds, then disappeared and did not reappear. No Charles log available.",NULL
2665677,64256,142661,4189,"Live TV - Excessive amount of black screen and filler slate during ad pods","1. Open http://www.fox.com/live at 8:00 pm and sign into MVPD. 2. Allow live streaming to play uninterrupted for the duration of primetime.","Ads will play back-to-back during ad pods, with minimal amount of black screen and filler slates.","Many ad pods played as expected, with ads from start to end.  However, there were several instances of the Fox multi-color filler slate, with 5 seconds of black screen both before and after.  MasterChef Ad Pod 5 at 8:55 pm - Prior to the final ad in the pod, a live promo for The F Word, more than 10 seconds of black screen displayed.  F Word Ad Pod 2 at 9:25 pm - Following the SYTYCD promo in position 6, black screen displayed for 5 seconds, followed by 1:50 min of Fox multi-color filler slate, another 5 seconds of black screen, and finally F Word resumed.  F Word Ad Pod 4 at 9:45 pm - Following the US Open ad in position 6, black screen displayed for 5 seconds, followed by 1:20 min of Fox multi-color filler slate, another 5 seconds of black screen, and finally a Superhuman promo.",NULL
2665638,64256,142661,4189,"Live TV - Primetime blackout slate did not appear until >1 minute after streaming ended","1. Open http://www.fox.com/live at 8:00 pm and sign into MVPD. 2. Allow live streaming to play uninterrupted for the duration of primetime.","Within a few seconds of primetime ending, the  primetime blackout slate will display.","The primetime blackout slate did not appear until 10:02 pm, well over a minute (approx. 1:20-1:30 min) after primetime streaming concluded.",NULL
2656811,64256,141652,4189,"Full Episodes - Incorrect sort when Most Recent filter is applied","1. Open http://www.fox.com/full-episodes?sort_by=field_air_date_value.","When the Most Recent sort filter is selected, shows are displayed in reverse chronological order based on the most recent episode air date.","Prison Break aired after Brooklyn Nine-Nine on May 23, but the B99 carousel displays below the Prison Break carousel when the Most Recent filter is applied (i.e., those two carousels display in chronological order, instead of reverse chronological order). All other shows sort correctly.",NULL
2655585,188781,141652,4189,"Homepage-[T,M]- push notification popup not shown in safari","Prereq: Clear cache and cookies. 1.Launch Url www.fox.com 2. Observe","Push notification popup shown to select allow or not allow","Popup not shown",NULL
2653711,185677,141652,4189,"LIVE - [D, T, M] - TV Rating for the second episode of the same show not displayed under On Today","1. Open test url www.fox.com/live 2. Sign in  3. Observe episodes under On Tonight","Episodes TV rating displayed for episodes of the same show schedule for On Today live section","TV Rating for the second episode of the same show not displayed under On Today","N/A"
2653349,64256,141652,4189,"Right Rail - Clicking Full Episodes on FOXNOW on top level show pages opens site Full Episodes page","1. Open show page, such as http://www.fox.com/lethal-weapon/meet-the-cast (NOT show node, http://www.fox.com/lethal-weapon). 2. Expand right rail panel if collapsed. 3. Click Full Episodes on FOXNOW at top of right rail panel.","The user should be sent to the Full Episodes listing page for that show.","On top level show pages, other than landing page, clicking the Full Episodes on FOXNOW link opens the site Full Episodes page, http://www.fox.com/full-episodes.  This is seen on shows' Meet The Cast pages, Bio pages, and other top level pages, such as http://www.fox.com/lethal-weapon/best-bud-sweeps.  Expected behavior is seen on show landing page http://www.fox.com/[show-name] (for example, http://www.fox.com/lethal-weapon), or on About The Show or other article pages, such as http://www.fox.com/lethal-weapon/article/about-the-show or http://www.fox.com/brooklyn-nine-nine/article/radio-signals-quiz",NULL
2650295,64256,139202,4189,"[Nat Geo Apple TV] Primal Survivor - Episode 5 is missing","1. Open app and sign into MVPD. 2. Navigate to Shows. 3. Select Primal Survivor.","All five episodes from current Season 2 will be available to view.","Episode 5 is missing.",NULL
2649255,63121,141235,4189,"Live - Mobile - Title does not change to On Today from On Tomorrow after midnight","1. Go to http://staging.fox.com/live just before midnight 2. Observe the title  On Tomorrow  as time goes past midnight (See screenshot taken at 12:12 AM) without refreshing the page","I expected the title to change from On Tomorrow to On Today","The title remained On Tomorrow (See screenshot taken at 12:12 AM)","No error message"
2648952,269709,141235,4189,"Live - All Breakpoints -  On Tomorrow  showing below player instead of  On Today  DURING Live Stream","1. Go to staging.fox.com during primetime, 11PM EST, 5/20/17 Saturday. 2. Observe MasterChef Junior scheduled to stream that time. 3. Go to Live TV in global nav. 4. Scroll down to below player.","On Today displays with shows that are streaming currently, displayed in red.","On Tomorrow displays with shows scheduled for tomorrow.  Not an issue in Prod, where it shows as On Today correctly, with the show currently streaming displayed in red.",NULL
2648947,269709,141235,4189,"Live - All Breakpoints - Live TV text in Global Nav is shown in white color even during Primetime","1. Go to either staging.fox.com during Primetime 11PM EST, Saturday, 5/20/17. 2. Observe Live TV in top navigation.","Live TV shown in red color during primetime.","Live TV shown in white color during primetime.  Not an issue in Prod fox.com where it showed in red text correctly during primetime.",NULL
2648944,269709,141235,4189,"Live - All Breakpoints - Live TV not live-streaming anything even though it should be per schedule","1. Go to either staging.fox.com or fox.com during Primetime 11PM EST, Saturday, 5/20/17. 2. Observe Schedule mentioning On Tonight, 11PM, MasterCheck Junior. 3. Go to Live TV in top navigation. 4. Observe nothing is streaming.","Program is live streaming in Live TV during primetime.","No program is live streaming in Live TV during primetime, even though schedule shows a program should be live streaming.",NULL
